campaign group name,campaign name,off/on,status,spent,average daily spend,Daily budget (before december),start date,end date,spent to date,New daily budget/ every day until 31 december (29 days),New daily budget / only untill 15th of decemeber (13 days),January after 05th - 31st - Leadgen,January full month
BV I DECERNO I Consideration I 2025,BV I DECERNO I Consideration I AI Roadmap Whitepaper I SI Ads I 2025,On,PAUSED 15th december,812.29,5.24,70,11/20/2025,-,45.85,,298.15,143.07,
BV I DECERNO I Consideration I 2025,BV I Decerno I Consideration I AI Roadmap Whitepaper I Convo Ads I 2025,On,PAUSED 15th december,928.58,5.99,70,11/20/2025,-,165.19,,298.15,143.07,
BV I DECERNO I Awareness I 2025,BV I Awareness I Swedish industries I SI Ads I Traffic I 2025,On,Active,"6,188.38",39.93,70,9/8/2025,-,0,70,,,70
BV I DECERNO I Awareness I 2025,BV I Awareness I Public sector I SI Ads I Traffic I 2025,On,Active,"7,338.45",47.34,70,9/8/2025,-,105,70,,,70
BV I DECERNO I Awareness I 2025,BV I Awareness I Transport & logistics I SI Ads I Traffic I 2025,On,Active,"5,950.38",38.39,70,9/8/2025,-,0,70,,,70
BV I DECERNO I Awareness I 2025,BV I Awareness I Swedish industries I Spotlight Ads I Traffic I 2025,On,Active,"4,779.60",30.84,73.05,9/25/2025,-,181.93,73.05,,,73.05
BV I DECERNO I Awareness I 2025,BV I Awareness I Public Sector I Spotlight Ads I Traffic I 2025,On,Active,"2,880.66",18.58,73.45,9/25/2025,-,145.4,73.45,,,73.45
BV I DECERNO I Awareness I 2025,BV I Awareness I Transport & Logistic I Spotlight Ads I Traffic I 2025,On,Active,"1,470.55",9.49,72.3,9/25/2025,-,71.5,72.3,,,72.3
BV I DECERNO I Awareness I 2025,BV I Awareness I AI Roadmap - Public Sector I SI Ads I Traffic I 2025,On,Active,0,0,70,11/18/2025,12/15/2025,0,70,,,70
BV I DECERNO I Awareness I 2025,BV I Awareness I Transport & Logistics I Text Ads I Traffic I 2025,Off,Paused,14,0.09,70,9/25/2025,-,0,,,,
BV I DECERNO I Awareness I 2025,BV I Awareness I Public Sector I Text Ads I Traffic I 2025,Off,Paused,31.2,0.2,70,9/25/2025,-,0,,,,
BV I DECERNO I Awareness I 2025,BV I Awareness I Swedish Industries I Text Ads I Traffic I 2025,Off,Paused,0,0,70,9/25/2025,-,0,,,,
BV I DECERNO I Retargeting I 2025,BV I Retargeting I Convo Ads I 2025,On,Active,"2,505.74",16.17,70,9/25/2025,12/31/2025,11.75,70,,,70
BV I DECERNO I Retargeting I 2025,BV I Retargeting I Text Ads I 2025,On,Active,136.11,0.88,70,9/25/2025,-,0,70,,,70
BV I DECERNO I Retargeting I 2025,BV I Retargeting I Spotlight Ads I 2025,On,Active,"1,731.55",11.17,70,9/25/2025,-,0,70,,,70
BV / Generic Campaign / Brand Awareness / Website traffic / PMax / Q-3 2025,BV / Generic Campaign / Brand Awareness / Website traffic / Performance Max / Q-3 2025,On,Eligible,"27,498.19",,161,-,-,165,111,,,111
BV / AI Roadmap / Display / RDA,BV / AI Roadmap / Display / RDA,On,PAUSED 15th december,"1,053.72",,70,-,-,144.23,,298.15,143.07,
BV / AI + Machine Learning / Traffic + Lead Gen / Search Ads,BV / AI + Machine Learning / Traffic + Lead Gen / Search Ads,On,Eligible,"30,743.39",,252,-,-,438.82,152,,,152
BV / Low-code / Traffic + Lead Gen / Search Ads,BV / Low-code / Traffic + Lead Gen / Search Ads,Off,Paused,"14,791.12",,161,-,-,0,,,,
TOTAL daily ,,,,,,1331.8,,,1475,971.8,894.45,429.21,971.8
Number of days ,,,,,,,,,,Total 29 days,13 days,27 days,31 days
Forecasted total daily per days left,,,,,,,,,,28182,11627,11588.67,30125.8
Total forecasted month spend,,,,,,,,,,,39809,,41714.47
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
total budget for december,41285.8,,,,,,,,,,,,
we have left,39810.8,,,,,,,,,,,,