Campaign,Daily Budget,Forecasted Remaining H2 Spend,,Total spent ,Status
*Search | Core Services | Managed,£26.32,£0.00,,"£2,961.31",Active
Search | Core Services | Migration,£26.32,£0.00,,"£6,102.26",Active
*Search | Core Services | Data & AI,£39.47,£0.00,,"£6,253.23",Active
CORP-PPC-240101-Search-Brand [manual bid],£39.47,£0.00,,"£5,805.42",Active
*Search | AWS | Europe | 02-09-23,£46.05,£0.00,,"£5,509.47",Active
*Search | Google Cloud | Europe | 02-09-23,£46.05,£0.00,,"£3,921.70",Active
*Search | Azure | Europe | 02-09-23,£46.05,£0.00,,"£5,404.34",Active
*Search | Core Services | Agentic AI,£27.78,£0.00,,£657.50,Active
*Search | Core Services | Sovereign Cloud,£27.78,£0.00,,£664.76,Active
*Search | Core Services | Cloud Journey,£0.00,£0.00,,"£1,317.54",paused 
,,,,,
,,including 12.11 to 30.12,, as of 12.11,
,,"15,939.21",,"£38,597.53",
,,,,,
Total forecasted spend in H1,"£54,536.74",,,,
should lower the budget ,2540,,,,