Campaign Group,Campaign Name,Campaign linkedin,Status,Current Budget  total,Current budget remains,,New budget for the next month (30 days),New budget if on (from 25 - 30)
AWS: Traffic ,Migration / VM Ware,,,,,,,
,European Soverign Cloud,,,,,,,
,New AWS governance structure and enhanced controls mark a pivotal moment,,,,,,,
,AWS Awareness,,,,,,,
,,,,,,,,
Campaign group budget,,,,,,,,
5000,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
AWS Leadgen,Start your Vmware Exit Plan Converastion ads,,,,,,,
,Hybrid E-Guide,,,,,,,
,Migration Treasure Map,,,,,,,