,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
AO | General Funnel | Awareness,SI | WV | Managed Services | BV Awareness | ICP+JFun | 150.000,Off,Paused,"1,185.97",—,£25.00,4/2/2025,—
AO | General Funnel | Awareness,SI | WV | Migration Services | BV Awareness | Markets+BG | 170.000,Off,Paused,"1,444.89",—,£25.00,4/2/2025,—
AO | General Funnel | Decision,ConvoAds | LG | BV Data + AI: Business | Retarget - Data & AI + Jfun/ JSen 200000,Off,Paused,870.96,—,£15.00,6/3/2025,—
AO | General Funnel | Decision,Convo Ads | LG | BV Data + AI: Technical | Retarget - Data & AI + Jfun/ JSen 600000,Off,Paused,868.52,—,£15.00,6/3/2025,—
Tiered Marketing Activities,Tier 1 - Valtori - AWS Security Lunch - webvisits,Off,Completed,—,£250.00,£75.00,5/25/2022,—
,,,,,,,,
,,,,,,,,
BV / Boosted Post N 1 / SE / Public Sector / Webinar H12025,BV / Boosted Post N 1 / SE / Public Sector / Webinar H12025,Off,Completed,—,"£1,000.00",—,5/28/2025,6/12/2025
BV / Boosted Post N 2 / SE / Public Sector / Webinar H12025,BV / Boosted Post N 2 / SE / Public Sector / Webinar H12025,Off,Completed,—,"£1,000.00",—,5/28/2025,6/12/2025
BV | Nordcloud | Sweden | Public Sector | Webinar | LeadGen & Awareness,BV | Nordcloud | Sweden | Public Sector | Webinar | Awareness | SI ads,On,Active,£551.19,—,£31.25,10/29/2025,12/15/2025
BV | Nordcloud | Sweden | Public Sector | Webinar | LeadGen & Awareness,BV | Nordcloud | Sweden | Public Sector | Webinar | LeadGen | SI ads,On,Active,£579.79,—,£31.25,10/29/2025,12/15/2025